source,seed,regime,r_int,V_epi,V_ale,gate_h3,allocate_rate,defer_rate,reject_rate
mechanism-control signal audit,0,high_entropy,-0.0487433422613805,0.06342696223493678,0.07150157958706266,0.8353402512527004,0.7551020408163265,0.22959183673469388,0.015306122448979591
mechanism-control signal audit,0,low_entropy,-0.007162025112158615,0.02711699520985834,0.059936598319798,0.9239961782676461,0.6648936170212766,0.3351063829787234,0.0
mechanism-control signal audit,1,high_entropy,-0.038644891659406135,0.07168725790442347,0.06992767941757881,0.8003447151255006,0.6938775510204082,0.21683673469387754,0.08928571428571429
mechanism-control signal audit,1,low_entropy,0.0018259065899070095,0.033499422737353325,0.056508291849589054,0.908830627113755,0.648936170212766,0.31382978723404253,0.03723404255319149
mechanism-control signal audit,2,high_entropy,-0.13884916774140632,0.0893710411222883,0.07249243100344827,0.7385232602429094,0.7857142857142857,0.12244897959183673,0.09183673469387756
mechanism-control signal audit,2,low_entropy,-0.029849565705898497,0.04077823103788561,0.06042386253582348,0.8908157020943773,0.6648936170212766,0.28191489361702127,0.05319148936170213
mechanism-control signal audit,3,high_entropy,-0.024848704570718447,0.08045568763604156,0.07029331204177314,0.7790372541612973,0.7474489795918368,0.16581632653061223,0.08673469387755102
mechanism-control signal audit,3,low_entropy,0.0008162176725456223,0.03193283062863046,0.05896583918799107,0.9197747695128446,0.648936170212766,0.3191489361702128,0.031914893617021274
mechanism-control signal audit,4,high_entropy,0.009295332583139452,0.07246491330384218,0.07387882644994827,0.8172564460500672,0.7551020408163265,0.1377551020408163,0.10714285714285714
mechanism-control signal audit,4,low_entropy,0.014298415951152162,0.02850870366332886,0.05826548057945164,0.9237139717966957,0.6409574468085106,0.3324468085106383,0.026595744680851064
mechanism-control signal audit,5,high_entropy,-0.025388307704104825,0.07547595496281766,0.07197675712368616,0.8008445566320272,0.7448979591836735,0.25510204081632654,0.0
mechanism-control signal audit,5,low_entropy,0.002029762400845978,0.028806883231075404,0.05568200158589376,0.9218763572449643,0.6143617021276596,0.38563829787234044,0.0
mechanism-control signal audit,6,high_entropy,-0.024608069728234656,0.0607513633683331,0.07382694861319444,0.8491826014113223,0.6760204081632653,0.21683673469387754,0.10714285714285714
mechanism-control signal audit,6,low_entropy,0.006204108333268264,0.02911981721402278,0.06080521407358818,0.9235287498304572,0.651595744680851,0.31117021276595747,0.03723404255319149
mechanism-control signal audit,7,high_entropy,-0.052909374658820764,0.07736520992364443,0.07222326240521301,0.7907533003957529,0.7142857142857143,0.21428571428571427,0.07142857142857142
mechanism-control signal audit,7,low_entropy,0.002744323100627734,0.037445582558786654,0.060545495285236416,0.9031653565150995,0.6622340425531915,0.300531914893617,0.03723404255319149
mechanism-control signal audit,8,high_entropy,-0.15704615224587498,0.0937511804715347,0.0727978704155099,0.7495156798259696,0.49489795918367346,0.5025510204081632,0.002551020408163265
mechanism-control signal audit,8,low_entropy,-0.07280026313274406,0.057817034519689434,0.05998694795639587,0.8361887950132895,0.5718085106382979,0.42819148936170215,0.0
mechanism-control signal audit,9,high_entropy,-0.05590302378604411,0.06842015716932483,0.07408666137453848,0.8281566067260434,0.7142857142857143,0.24744897959183673,0.03826530612244898
mechanism-control signal audit,9,low_entropy,-0.010970655138031414,0.032805008475161525,0.059615737104669476,0.9082175274307127,0.6542553191489362,0.3404255319148936,0.005319148936170213
original signal artifact,0,high_entropy,-0.059542966764370736,0.083895270755566,0.0748374665349636,0.7768169330124471,0.7551020408163265,0.2372448979591837,0.007653061224489796
original signal artifact,0,low_entropy,0.002165163940296665,0.04061520832981082,0.062258463551072306,0.8976638708986127,0.7287234042553191,0.2712765957446808,0.0
original signal artifact,1,high_entropy,-0.08454599017619992,0.0702177411382042,0.07300009708661505,0.8065511242544475,0.7270408163265306,0.18622448979591838,0.08673469387755102
original signal artifact,1,low_entropy,-0.007847852446155006,0.023882094425592196,0.05398149414612173,0.9331438941421085,0.6170212765957447,0.3670212765957447,0.015957446808510637
original signal artifact,2,high_entropy,-0.02457730831402672,0.06013174540361558,0.07370805941113474,0.8456206783925083,0.7244897959183674,0.15816326530612246,0.11734693877551021
original signal artifact,2,low_entropy,0.0056012462295451345,0.026153711152970282,0.05976621738753888,0.9281409286547094,0.6436170212765957,0.3191489361702128,0.03723404255319149
original signal artifact,3,high_entropy,-0.04465997297991747,0.07901649547209101,0.07240866451543201,0.7771950213573035,0.7653061224489796,0.23469387755102042,0.0
original signal artifact,3,low_entropy,0.0072820873915553225,0.033412286307720765,0.060238086509498474,0.9161189284329304,0.6888297872340425,0.31117021276595747,0.0
original signal artifact,4,high_entropy,-0.021196051155678474,0.06605665711933591,0.07381054133115031,0.8215594163737588,0.7168367346938775,0.20408163265306123,0.07908163265306123
original signal artifact,4,low_entropy,0.008256333553270424,0.0241216609485855,0.05652855041293189,0.9325027497917158,0.601063829787234,0.3670212765957447,0.031914893617021274
original signal artifact,5,high_entropy,-0.023231419565856462,0.0548480109386453,0.07211674499914653,0.8553635616663319,0.7117346938775511,0.20918367346938777,0.07908163265306123
original signal artifact,5,low_entropy,0.006051451915794229,0.025585835191507048,0.0594025736853004,0.9323788590835971,0.648936170212766,0.31648936170212766,0.034574468085106384
original signal artifact,6,high_entropy,-0.03707783500511844,0.059083173802602695,0.07171097738972423,0.8413999811420363,0.6658163265306123,0.24489795918367346,0.08928571428571429
original signal artifact,6,low_entropy,0.0019640378447403385,0.02500647250520805,0.05752281023268683,0.9334031993992199,0.6170212765957447,0.35106382978723405,0.031914893617021274
original signal artifact,7,high_entropy,-0.016525849401932677,0.0645955110578551,0.06969733525314648,0.8276585635365862,0.7295918367346939,0.18112244897959184,0.08928571428571429
original signal artifact,7,low_entropy,0.007005428806452307,0.019706454463604146,0.052923456210880744,0.9408976690191776,0.574468085106383,0.39361702127659576,0.031914893617021274
original signal artifact,8,high_entropy,-0.01812166766885044,0.055237710577048973,0.06917229797501037,0.8560220441265596,0.6760204081632653,0.22193877551020408,0.10204081632653061
original signal artifact,8,low_entropy,0.003197204203245402,0.01672575461916757,0.05361846417307531,0.944625136531231,0.5877659574468085,0.3882978723404255,0.023936170212765957
original signal artifact,9,high_entropy,-0.0014142952248689814,0.04936053288954137,0.07435521756165789,0.8826380459327028,0.6989795918367347,0.2193877551020408,0.08163265306122448
original signal artifact,9,low_entropy,0.010232188475722869,0.018501474478012574,0.0559369294329526,0.9422186343769027,0.6196808510638298,0.35904255319148937,0.02127659574468085
strict original-protocol rerun,0,high_entropy,-0.059542966764370736,0.083895270755566,0.0748374665349636,0.7768169330124471,0.7551020408163265,0.2372448979591837,0.007653061224489796
strict original-protocol rerun,0,low_entropy,0.002165163940296665,0.04061520832981082,0.062258463551072306,0.8976638708986127,0.7287234042553191,0.2712765957446808,0.0
strict original-protocol rerun,1,high_entropy,-0.08454599017619992,0.0702177411382042,0.07300009708661505,0.8065511242544475,0.7270408163265306,0.18622448979591838,0.08673469387755102
strict original-protocol rerun,1,low_entropy,-0.007847852446155006,0.023882094425592196,0.05398149414612173,0.9331438941421085,0.6170212765957447,0.3670212765957447,0.015957446808510637
strict original-protocol rerun,2,high_entropy,-0.02457730831402672,0.06013174540361558,0.07370805941113474,0.8456206783925083,0.7244897959183674,0.15816326530612246,0.11734693877551021
strict original-protocol rerun,2,low_entropy,0.0056012462295451345,0.026153711152970282,0.05976621738753888,0.9281409286547094,0.6436170212765957,0.3191489361702128,0.03723404255319149
strict original-protocol rerun,3,high_entropy,-0.04465997297991747,0.07901649547209101,0.07240866451543201,0.7771950213573035,0.7653061224489796,0.23469387755102042,0.0
strict original-protocol rerun,3,low_entropy,0.0072820873915553225,0.033412286307720765,0.060238086509498474,0.9161189284329304,0.6888297872340425,0.31117021276595747,0.0
strict original-protocol rerun,4,high_entropy,-0.021196051155678474,0.06605665711933591,0.07381054133115031,0.8215594163737588,0.7168367346938775,0.20408163265306123,0.07908163265306123
strict original-protocol rerun,4,low_entropy,0.008256333553270424,0.0241216609485855,0.05652855041293189,0.9325027497917158,0.601063829787234,0.3670212765957447,0.031914893617021274
strict original-protocol rerun,5,high_entropy,-0.023231419565856462,0.0548480109386453,0.07211674499914653,0.8553635616663319,0.7117346938775511,0.20918367346938777,0.07908163265306123
strict original-protocol rerun,5,low_entropy,0.006051451915794229,0.025585835191507048,0.0594025736853004,0.9323788590835971,0.648936170212766,0.31648936170212766,0.034574468085106384
strict original-protocol rerun,6,high_entropy,-0.03707783500511844,0.059083173802602695,0.07171097738972423,0.8413999811420363,0.6658163265306123,0.24489795918367346,0.08928571428571429
strict original-protocol rerun,6,low_entropy,0.0019640378447403385,0.02500647250520805,0.05752281023268683,0.9334031993992199,0.6170212765957447,0.35106382978723405,0.031914893617021274
strict original-protocol rerun,7,high_entropy,-0.016525849401932677,0.0645955110578551,0.06969733525314648,0.8276585635365862,0.7295918367346939,0.18112244897959184,0.08928571428571429
strict original-protocol rerun,7,low_entropy,0.007005428806452307,0.019706454463604146,0.052923456210880744,0.9408976690191776,0.574468085106383,0.39361702127659576,0.031914893617021274
strict original-protocol rerun,8,high_entropy,-0.01812166766885044,0.055237710577048973,0.06917229797501037,0.8560220441265596,0.6760204081632653,0.22193877551020408,0.10204081632653061
strict original-protocol rerun,8,low_entropy,0.003197204203245402,0.01672575461916757,0.05361846417307531,0.944625136531231,0.5877659574468085,0.3882978723404255,0.023936170212765957
strict original-protocol rerun,9,high_entropy,-0.0014142952248689814,0.04936053288954137,0.07435521756165789,0.8826380459327028,0.6989795918367347,0.2193877551020408,0.08163265306122448
strict original-protocol rerun,9,low_entropy,0.010232188475722869,0.018501474478012574,0.0559369294329526,0.9422186343769027,0.6196808510638298,0.35904255319148937,0.02127659574468085
